"Data Source:","http://breachlevelindex.com/#!breach-database","Retrieved February 23, 2015",,,,,,
"RANK","ORGANIZATION
BREACHED","DATE
BREACHED","RECORDS
BREACHED","LOCATION","INDUSTRY","SOURCE
OF BREACH","TYPE OF
BREACH","RISK SCORE"
1,"Anthem Insurance Companies (Anthem Blue Cross)",01/27/15,80000000,"United States","Financial","State Sponsored","Identity Theft",10
2,"Home Depot",09/02/14,109000000,"United States","Retail","Malicious Outsider","Financial Access",10
3,"JPMorgan Chase",08/27/14,83000000,"United States","Financial","Malicious Outsider","Identity Theft",10
4,"CyberVor",08/05/14,1200000000,"Global","Technology","Malicious Outsider","Account Access",10
5,"eBay",05/21/14,145000000,"United States","Retail","Malicious Outsider","Identity Theft",10
6,"Korea Credit Bureau, NH Nonghyup Card, Lotte Card, KB Kookmin Card",01/20/14,104000000,"South Korea","Financial","Malicious Insider","Identity Theft",10
7,"Target",11/04/13,110000000,"United States","Retail","Malicious Outsider","Financial Access",10
8,"Adobe Systems, Inc",09/18/13,152000000,"United States","Technology","Malicious Outsider","Financial Access",10
9,"Country's Supreme Election Committee (YSK)",12/16/13,54000000,"Turkey","Government","Malicious Outsider","Identity Theft",9.9
10,"Benesse",07/15/14,48600000,"Japan","Education","Malicious Insider","Identity Theft",9.8
11,"Cupid Media",11/20/13,42000000,"Australia","Other","Malicious Outsider","Identity Theft",9.8
12,"Websites for online games, movie ticketing and ring tone downloads",08/21/14,27000000,"South Korea","Technology","Malicious Outsider","Identity Theft",9.6
13,"AliExpress",12/08/14,300000000,"China","Retail","Accidental Loss","Account Access",9.5
14,"Korean Medical Association, Association of Korean Medicine and Korean Dental Association",02/17/14,17000000,"South Korea","Healthcare","Malicious Outsider","Identity Theft",9.4
15,"General Directorate of Population and Citizenship Affairs, the General Directorate of Land Registry and Cadaster",01/12/15,50000000,"Turkey","Government","Accidental Loss","Identity Theft",9.3
16,"Northwestern city of Verden",04/03/14,18000000,"Germany","Government","Malicious Outsider","Financial Access",9.3
17,"Naver",03/28/14,25000000,"South Korea","Technology","Malicious Outsider","Account Access",9.3
18,"Korea Telecom",02/15/14,12000000,"South Korea","Technology","Malicious Outsider","Identity Theft",9.3
19,"LivingSocial",04/04/13,50000000,"United States","Retail","Malicious Outsider","Account Access",9.3
20,"Topface",01/20/15,20000000,"Russia","Other","Malicious Outsider","Account Access",9.2
21,"Serbian State",12/13/14,7276604,"Serbia","Government","Malicious Outsider","Identity Theft",9.1
22,"Pandora TV",09/09/14,7450000,"South Korea","Other","Malicious Outsider","Identity Theft",9.1
23,"Internet country Germany",01/03/14,16000000,"Germany","Government","Malicious Outsider","Account Access",9.1
24,"Community Health Systems Inc",06/08/14,4500000,"United States","Healthcare","Malicious Outsider","Identity Theft",8.9
25,"Zhejiang Cnwisdom Network Co",09/05/13,20000000,"China","Other","Malicious Outsider","Account Access",8.9
26,"Yahoo Japan",04/23/13,22000000,"Japan","Technology","Malicious Outsider","Account Access",8.9
27,"Evernote",11/25/13,2900000,"United States","Technology","Malicious Outsider","Existential Data",8.8
28,"Bulgaria Citizens",04/15/14,2832312,"Bulgaria","Other","Malicious Outsider","Identity Theft",8.7
29,"Educational Credit Management Corp, St. Paul",03/21/14,3300000,"United States","Financial","Malicious Outsider","Identity Theft",8.7
30,"Hannaford Bros",02/27/14,4200000,"United States","Retail","Malicious Outsider","Financial Access",8.7
31,"Gmail",09/10/14,5000000,"Global","Technology","Malicious Outsider","Account Access",8.6
32,"FC Barcelona's official Twitter account",02/19/14,11119878,"Spain","Other","Malicious Outsider","Nuisance",8.6
33,"Michael's Stores, Aaron Brothers",01/27/14,3000000,"United States","Retail","Malicious Outsider","Financial Access",8.6
34,"Maricopa County Community College District",11/27/13,2490000,"United States","Education","Malicious Outsider","Identity Theft",8.6
35,"National White Collar Crime Center (NW3C)",09/14/13,2659000,"United States","Other","Malicious Outsider","Identity Theft",8.6
36,"Evernote",02/13/13,50000000,"United States","Technology","Malicious Outsider","Account Access",8.6
37,"HSBC Bank",11/12/14,2700000,"Turkey","Financial","Malicious Outsider","Financial Access",8.5
38,"AOL",04/28/14,2000000,"United States","Technology","Malicious Outsider","Identity Theft",8.5
39,"Harbor Freight Tools",07/19/13,2400000,"United States","Other","Malicious Outsider","Financial Access",8.5
40,"Schnucks",02/18/13,2400000,"United States","Retail","Malicious Outsider","Financial Access",8.5
41,"TV Channel MyTF1",01/02/15,1900000,"France","Other","Malicious Outsider","Financial Access",8.4
42,"Telia",12/08/14,5000000,"Sweden","Technology","Malicious Outsider","Nuisance",8.3
43,"iCloud Apple",10/21/14,2000000,"United States","Technology","State Sponsored","Account Access",8.3
44,"Oregon Employment Department",10/10/14,1300000,"United States","Government","Malicious Outsider","Identity Theft",8.3
45,"Montana Department of Public Health and Human Services",05/22/14,1300000,"United States","Government","Malicious Outsider","Identity Theft",8.3
46,"French telecoms group Orange",04/15/14,1300000,"France","Other","Malicious Outsider","Identity Theft",8.3
47,"Mumsnet Limited",04/09/14,1500000,"United Kingdom","Other","Malicious Outsider","Financial Access",8.3
48,"Visa, Mastercard, American Express, and Discover cards",03/25/14,7000000,"Ukraine","Financial","Hacktivist","Financial Access",8.3
49,"Snapchat",01/04/14,4600000,"United States","Technology","Malicious Outsider","Account Access",8.3
50,"SuperValu, loyaltybuild, Electricity Supply Board",10/25/13,1500000,"United Kingdom","Financial","Malicious Outsider","Financial Access",8.3
51,"YTO Express",10/22/13,6000000,"China","Retail","Malicious Insider","Nuisance",8.3
52,"The Washington state Administrative Office",04/14/13,1160000,"United States","Government","Malicious Outsider","Identity Theft",8.3
53,"Ministry of Education (MEBB_S)",01/18/15,15000000,"Turkey","Education","Accidental Loss","Nuisance",8.2
54,"Affin Bank Berhad and Affin Islamic Bank Berhad",09/27/14,1271000,"United Kingdom","Financial","Malicious Outsider","Financial Access",8.2
55,"Salesforce",09/03/14,2000000,"United States","Technology","Malicious Outsider","Account Access",8.2
56,"Skype Twitter",01/01/14,3000000,"United States","Technology","State Sponsored","Nuisance",8.2
57,"Vodafone",08/23/13,2000000,"Germany","Technology","Malicious Outsider","Identity Theft",8.2
58,"Health Net",07/05/13,1900000,"United States","Healthcare","Malicious Outsider","Identity Theft",8.2
59,"Ubuntu Forums",06/27/13,1820000,"United States","Technology","Malicious Outsider","Account Access",8.2
60,"Groupon Taiwan",05/03/13,4100000,"Taiwan","Other","Malicious Outsider","Account Access",8.2
61,"iTunes (Apple)",01/29/15,6000000,"Germany","Technology","Accidental Loss","Identity Theft",8.1
62,"Staples",10/21/14,1160000,"United States","Retail","Malicious Outsider","Financial Access",8.1
63,"Japan Airlines",09/25/14,750000,"Japan","Government","Malicious Outsider","Identity Theft",8.1
64,"Texas Health and Human Services",07/31/14,2000000,"United States","Healthcare","Malicious Insider","Identity Theft",8.1
65,"Netherlands Primary School",04/06/14,1000000,"Netherlands","Education","Malicious Insider","Identity Theft",8.1
66,"muscogee county",11/13/13,850000,"United States","Retail","Malicious Outsider","Identity Theft",8.1
67,"Neiman Marcus",07/01/13,1100000,"United States","Retail","Malicious Outsider","Financial Access",8.1
68,"United States Postal Service",11/10/14,485000,"United States","Government","State Sponsored","Identity Theft",8
69,"Goodwill Industries International (C&K Systems)",08/14/14,868000,"United States","Retail","Malicious Outsider","Financial Access",8
70,"Domino's Pizza",06/13/14,650000,"France","Retail","Malicious Outsider","Identity Theft",8
71,"Moonpig Limited",01/05/15,3600000,"United Kingdom","Technology","Accidental Loss","Identity Theft",7.9
72,"CNET",07/10/14,1000000,"United States","Other","Malicious Outsider","Account Access",7.9
73,"Office Holding",05/27/14,1000000,"United Kingdom","Retail","Malicious Outsider","Account Access",7.9
74,"Harley Medical Group",04/14/14,500000,"United Kingdom","Healthcare","Malicious Outsider","Identity Theft",7.9
75,"Spec's",03/29/14,500000,"United States","Retail","Malicious Outsider","Identity Theft",7.9
76,"Forbes",02/13/14,1071963,"United States","Other","Malicious Outsider","Account Access",7.9
77,"Tango",06/28/13,1000000,"United States","Technology","Malicious Outsider","Identity Theft",7.9
78,"Aussie Travel Cover",12/16/14,870000,"Australia","Financial","Malicious Outsider","Identity Theft",7.8
79,"Parking Garages in Chicago",11/29/14,500000,"United States","Other","Malicious Outsider","Financial Access",7.8
80,"eCar insurance (Brightside Group)",09/29/14,400000,"United Kingdom","Financial","Malicious Outsider","Identity Theft",7.8
81,"St. Joseph Health System",02/04/14,405000,"United States","Healthcare","Malicious Outsider","Identity Theft",7.8
82,"Orange, French multinational telecommunication",01/16/14,800000,"France","Retail","Malicious Outsider","Account Access",7.8
83,"Horizon Blue Cross Blue Shield of New Jersey",12/06/13,840000,"United States","Healthcare","Malicious Outsider","Identity Theft",7.8
84,"MacRumors forums",11/13/13,860000,"United States","Technology","Malicious Outsider","Account Access",7.8
85,"Court Ventures, Experian",10/21/13,500000,"United States","Financial","Malicious Insider","Identity Theft",7.8
